run_id,timestamp,stt_engine,llm_engine,tts_engine,audio_input_path,transcript,reference_transcript,wer,llm_response,llm_word_count,stt_rtf,stt_peak_mem_mb,llm_ttft_sec,llm_time_to_first_sentence_sec,llm_total_sec,llm_token_count,llm_tps,tts_rtf,tts_peak_mem_mb,e2e_latency_sec,playback_total_sec
ac6e4648-6c8d-4433-bdf0-f677ec55e37f,2026-05-07T09:22:45.500877Z,fw_base,groq_8b,piper,test_audio/01_kya_haal_chaal.wav,کیا حالے؟,kya haal hai,1.0,"Theek hai bhai, sab badhiya. Traffic kaafi thoda kam hai aaj.",11,0.09331182113131282,258.86328125,0.2919374289995176,0.2928362050006399,0.3005520489969058,21,69.87142516608229,0.028727211886748986,321.859375,0.5440476269941428,0.0542674509997596
8e9ba34d-bd44-4ccf-8686-cf3f43a77dd4,2026-05-07T09:22:46.111520Z,fw_base,groq_8b,piper,test_audio/02_route_batao.wav,Paneepad se gurgao jane ka shortest route baat sao,Panipat se gurgaon jaane ka shortest route batao,0.625,"Ahem, Delhi se Agra jane ke liye paneepad se gurgao, aap lane chahiye: Agra-Morya Marg, Fatehabad Road, aur Agra-Lucknow Expressway. Isse aapko lagbhag 1 ghanta mein Agra pahunch jayenge.",29,0.03222213047097946,325.546875,0.13852941499499138,0.2638098459938192,0.33067784299782943,68,205.63821084452385,0.023358548846002216,459.0234375,0.5831919479969656,0.08151534700300545
ad58d1a7-5583-4565-8bad-16a2bf5915c6,2026-05-07T09:22:46.776594Z,fw_base,groq_8b,piper,test_audio/03_weather.wav,Today's weather is so hot in Delhi,aaj ka weather kaisa hai Delhi mein,1.0,"Bhai, aaj ka temperature 40 se jyada hai! Aaram karo, thanda paani peelo.",13,0.03338425812704244,463.984375,0.4264230100015993,0.42907939900032943,0.464979818003485,27,58.067036362850565,0.0264516456986036,464.34375,0.6089206590040703,0.059265005998895504
75c4dff8-af2e-4cd7-9dd1-bb471b722877,2026-05-07T09:22:48.090422Z,fw_base,groq_8b,edge_tts,test_audio/01_kya_haal_chaal.wav,کیا حالے؟,kya haal hai,1.0,"Theek hai bhai, sab badhiya. Aap batao kya help chahiye?",10,0.03460001979256369,361.05859375,0.17804884100041818,0.19201638700178592,0.20768912800122052,23,110.74243616577193,0.3902492519767428,363.69140625,1.2418124620016897,1.3909559040039312
b6c8e23d-af5c-4219-a845-223326522df4,2026-05-07T09:22:50.723505Z,fw_base,groq_8b,edge_tts,test_audio/02_route_batao.wav,Paneepad se gurgao jane ka shortest route baat sao,Panipat se gurgaon jaane ka shortest route batao,0.625,"Bhai, Agra se Delhi pahunchne ke liye paneepad se gurgao jane ka shortest route yeh hai - Agra se Badarpur Border, phir DND Flyway, aur phir aap Delhi pahunch jayenge.",30,0.022997663298354152,364.15625,0.15073290099826409,0.28085814700170886,0.2828820860013366,56,197.96234109973088,0.17494588925620436,364.828125,2.5845053249940975,3.7917001463938504e-05
88a50826-38df-43b7-9583-49f3cf6dcdca,2026-05-07T09:22:53.308450Z,fw_base,groq_8b,edge_tts,test_audio/03_weather.wav,Today's weather is so hot in Delhi,aaj ka weather kaisa hai Delhi mein,1.0,"Bilkul, Delhi mein aaj bahut garmi hai. Pehle se bhi garmi thi, lekin aaj aur bhi badi hai.",18,0.023481439161725917,367.109375,0.47859559999778867,0.48001765699882526,0.48247671000717673,37,76.6876394913438,0.3407597672487823,367.19921875,1.9864590860015596,1.609099763998529
da4d946c-b379-4483-bc95-52b183f32dbd,2026-05-07T09:22:58.341519Z,fw_base,gemma4_local,piper,test_audio/01_kya_haal_chaal.wav,کیا حالے؟,kya haal hai,1.0,"Sab badhiya bhai, aap kaise ho? Batao kya help chahiye aaj?",11,0.03370632554514442,340.546875,0.2975016830023378,0.5914958499997738,0.9424804520022008,16,16.9764794230052,0.02906392107387581,378.859375,0.7158187800014275,0.31102098799601663
cac49dbd-1b3e-468c-af69-da2583e1e660,2026-05-07T09:22:59.368677Z,fw_base,gemma4_local,piper,test_audio/02_route_batao.wav,Paneepad se gurgao jane ka shortest route baat sao,Panipat se gurgaon jaane ka shortest route batao,0.625,Paneepad se Gurgaon jaane ke liye NH48 lena best rahega. Yeh sabse seedha aur fast route hai bhai.,18,0.03550528915645949,379.6953125,0.22542554199753795,0.7506887439958518,1.3090546040039044,26,19.861661935625758,0.036692243413852646,430.67578125,1.0376230270048836,0.4354063729988411
6b0b9fb6-5984-4cfc-ba2d-d861650ed44a,2026-05-07T09:23:00.842205Z,fw_base,gemma4_local,piper,test_audio/03_weather.wav,Today's weather is so hot in Delhi,aaj ka weather kaisa hai Delhi mein,1.0,"Arre yaar, Delhi ka mausam toh sach mein bahut garam hai! Thoda paani peete rehna aur bahar zyada ghoomne se bachna.",21,0.043443974675780726,430.61328125,0.22252029000082985,0.7513468340039253,1.6330205290068989,35,21.432676061509657,0.029389479868851216,435.88671875,0.988840022997465,0.847720374003984
c6c00017-4627-406b-a28b-8a90420371aa,2026-05-07T09:23:03.380673Z,fw_base,gemma4_local,edge_tts,test_audio/01_kya_haal_chaal.wav,کیا حالے؟,kya haal hai,1.0,"Arre, main bilkul theek hoon, boss! Aap batao, kya haal chaal hain aapke?",13,0.03455261846683926,382.05859375,0.20377832100348314,0.6178586169990012,1.1323947980054072,25,22.077106009348363,0.37446584481026757,385.03125,2.16048004199547,1.5299691660038661
